INFO 2025-07-09 00:02:07,541 views 10848 12192 Tentative ajout produit 34, quantité 1
INFO 2025-07-09 00:03:50,143 views 10848 12192 Tentative ajout produit 34, quantité 1
INFO 2025-07-09 00:05:35,307 views 10848 12192 Tentative ajout produit 34, quantité 1
INFO 2025-07-09 00:23:31,037 views 10848 16280 Tentative ajout produit 34, quantité 1
INFO 2025-07-09 23:10:28,082 views 20384 12680 Tentative ajout produit 37, quantité 1
INFO 2025-07-09 23:12:26,655 views 20384 12680 Tentative ajout produit 34, quantité 1
ERROR 2025-07-12 02:33:15,401 views 8288 21344 Erreur modération produit 1: Cannot resolve keyword 'date_creation' into field. Choices are: avis, categorie, categorie_id, commercant, commercant_id, date_moderation, derniere_verification, description, est_approuve, est_visible, evaluations_qualite, favori, historique_moderation, id, imageproduit, moderateur, moderateur_id, nom, notification, raison_rejet, reference, score_qualite, signalements, specificationproduit, statut_moderation
ERROR 2025-07-12 02:40:05,692 views 9064 18440 Erreur modération produit 1: No Produit matches the given query.
ERROR 2025-07-12 14:10:19,711 views 18288 11296 Erreur modération produit 41: name 'ModerationActionSerializer' is not defined
ERROR 2025-07-12 14:10:19,758 views 18288 4808 Erreur modération produit 41: name 'ModerationActionSerializer' is not defined
ERROR 2025-07-12 14:10:19,775 views 18288 12756 Erreur modération produit 39: name 'ModerationActionSerializer' is not defined
ERROR 2025-07-12 14:10:19,791 views 18288 8916 Erreur modération produit 38: name 'ModerationActionSerializer' is not defined
ERROR 2025-07-12 14:26:16,898 views 1704 17480 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:27:34,844 views 1704 936 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:28:00,524 views 1704 16908 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:28:00,669 views 1704 4796 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:28:00,684 views 1704 11984 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:28:00,698 views 1704 4060 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:28:00,716 views 1704 12400 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:30:02,302 views 1704 3884 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:33:22,399 views 2128 7244 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:33:23,432 views 2128 7244 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:33:26,608 views 2128 7244 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:33:31,836 views 2128 15884 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:50:59,841 views 3976 18516 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:51:17,565 views 3976 7680 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:51:18,326 views 3976 7680 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:51:18,595 views 3976 7680 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:51:18,837 views 3976 7680 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:51:19,024 views 3976 7680 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 14:51:19,236 views 3976 7680 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
